Title_acm,Authors_acm,Year_acm,Venue_acm,Index_acm,bucket_acm,ToKeep_acm,isSigmod_acm,isVLDB_acm,Authors_new_acm,Title_dblp,Authors_dblp,Year_dblp,Venue_dblp,Index_dblp,bucket_dblp,ToKeep_dblp,isSigmod_dblp,isVLDB_dblp,Authors_new_dblp
lachesis: robust database storage management based on device-specific performance characteristics,"jiri schindler, anastassia ailamaki, gregory r. ganger",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe5e,"a, g, j, s",False,False,True,"a ailamaki, g ganger, j schindler",lachesis: robust database storage management based on device-specific performance characteristics.,"jiri schindler, anastassia ailamaki, gregory r. ganger",2003,vldb,53e9b83fb7602d97043fafc2,"a, g, j, s",True,False,True,"a ailamaki, g ganger, j schindler"
bypassing joins in disjunctive queries,"michael steinbrunn, klaus peithner, guido moerkotte, alfons kemper",1995,vldb '95 proceedings of the 21th international conference on very large data bases,53908a9620f70186a0da4cfb,"a, g, k, m, p, s",False,False,True,"a kemper, g moerkotte, k peithner, m steinbrunn",bypassing joins in disjunctive queries.,"michael steinbrunn, klaus peithner, guido moerkotte, alfons kemper",1995,vldb,53e9aa5cb7602d97033cb71d,"a, g, k, m, p, s",True,False,True,"a kemper, g moerkotte, k peithner, m steinbrunn"
heuristic and randomized optimization for the join ordering problem,"michael steinbrunn, guido moerkotte, alfons kemper",1997,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbabea,"a, g, k, m, s",False,False,True,"a kemper, g moerkotte, m steinbrunn",heuristic and randomized optimization for the join ordering problem.,"michael steinbrunn, guido moerkotte, alfons kemper",1997,vldb j.,53e9b2aab7602d9703d52b6b,"a, g, k, m, s",True,False,True,"a kemper, g moerkotte, m steinbrunn"
how to summarize the universe: dynamic maintenance of quantiles,"anna c. gilbert, yannis kotidis, s. muthukrishnan, martin j. strauss",2002,vldb '02 proceedings of the 28th international conference on very large data bases,53909f6920f70186a0e3a989,"a, g, k, m, s, y",False,False,True,"a gilbert, y kotidis, s muthukrishnan, m strauss",how to summarize the universe: dynamic maintenance of quantiles.,"anna c. gilbert, yannis kotidis, s. muthukrishnan, martin strauss",2002,vldb,53e9aa24b7602d9703393716,"a, g, k, m, s, y",True,False,True,"a gilbert, y kotidis, s muthukrishnan, m strauss"
guest editorial,"amr el abbadi, gunter schlageter, kyu-young whang",2001,the vldb journal — the international journal on very large data bases,5590cef80cf2ce4b6f3a00a3,"a, g, k, s, w",True,False,True,"a abbadi, g schlageter, k whang",guest editorial.,"amr el abbadi, gunter schlageter, kyu-young whang",2001,vldb j.,53e99796b7602d9701f5cf1f,"a, g, k, s, w",False,False,True,"a abbadi, g schlageter, k whang"
vertical data migration in large near-line document archives based on markov-chain predictions,"achim kraiss, gerhard weikum",1997,vldb '97 proceedings of the 23rd international conference on very large data bases,53908a9620f70186a0da4eec,"a, g, k, w",False,False,True,"a kraiss, g weikum",vertical data migration in large near-line document archives based on markov-chain predictions.,"achim kraiss, gerhard weikum",1997,vldb,53e9a8dbb7602d970322a19e,"a, g, k, w",True,False,True,"a kraiss, g weikum"
integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"achim kraiss, gerhard weikum",1998,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbabd7,"a, g, k, w",False,False,True,"a kraiss, g weikum",integrated document caching and prefetching in storage hierarchies based on markov-chain predictions.,"achim kraiss, gerhard weikum",1998,vldb j.,53e9aed1b7602d97038fced8,"a, g, k, w",True,False,True,"a kraiss, g weikum"
a case-based approach to information integration,"maurizio panti, luca spalazzi, alberto giretti",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da473c,"a, g, l, m, p, s",False,False,True,"a giretti, m panti, l spalazzi",a case-based approach to information integration.,"maurizio panti, luca spalazzi, alberto giretti",2000,vldb,53e9b917b7602d97044fbcd6,"a, g, l, m, p, s",True,False,True,"a giretti, m panti, l spalazzi"
locating and accessing data repositories with websemantics,"george a. mihaila, louiqa raschid, anthony tomasic",2002,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbb081,"a, g, l, m, r, t",False,False,True,"g mihaila, l raschid, a tomasic",locating and accessing data repositories with websemantics.,"george a. mihaila, louiqa raschid, anthony tomasic",2002,vldb j.,53e9ad9eb7602d970379a5e1,"a, g, l, m, r, t",True,False,True,"g mihaila, l raschid, a tomasic"
"design, implementation, and performance of the lham log-structured history data access method","peter muth, patrick e. o'neil, achim pick, gerhard weikum",1998,vldb '98 proceedings of the 24rd international conference on very large data bases,53908a7420f70186a0da4499,"a, g, m, o, p, w",False,False,True,"p muth, p o'neil, a pick, g weikum","design, implementation, and performance of the lham log-structured history data access method.","peter muth, patrick e. o'neil, achim pick, gerhard weikum",1998,vldb,53e9acaeb7602d970368c6ab,"a, g, m, o, p, w",True,False,True,"p muth, p o'neil, a pick, g weikum"
the lham log-structured history data access method,"peter muth, patrick o'neil, achim pick, gerhard weikum",2000,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbab1b,"a, g, m, o, p, w",False,False,True,"p muth, p o'neil, a pick, g weikum",the lham log-structured history data access method.,"peter muth, patrick e. o'neil, achim pick, gerhard weikum",2000,vldb j.,53e9bb80b7602d97047c7fc4,"a, g, m, o, p, w",True,False,True,"p muth, p o'neil, a pick, g weikum"
semistructured and structured data in the web: going back and forth,"paolo atzeni, giansalvatore mecca, paolo merialdo",1997,acm sigmod record,539087e720f70186a0d68406,"a, g, m, p",False,True,False,"p atzeni, g mecca, p merialdo",semistructured und structured data in the web: going back and forth.,"paolo atzeni, giansalvatore mecca, paolo merialdo",1997,sigmod record,53e9a36db7602d9702c77750,"a, g, m, p",True,True,False,"p atzeni, g mecca, p merialdo"
query processing and optimization in oracle rdb,"gennady antoshenkov, mohamed ziauddin",1996,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbacb5,"a, g, m, z",False,False,True,"g antoshenkov, m ziauddin",query processing and optimization in oracle rdb,"gennady antoshenkov, mohamed ziauddin",1996,vldb j.,53e9bac9b7602d97046f89a3,"a, g, m, z",True,False,True,"g antoshenkov, m ziauddin"
addressing techniques used in database object managers o2 and orion,"andré gamache, nadjiba sahraoui",1995,acm sigmod record,539087cf20f70186a0d5b53e,"a, g, n, s",False,True,False,"a gamache, n sahraoui",addressing techniques used in database object managers o2 and orion.,"andré gamache, nadjiba sahraoui",1995,sigmod record,53e9a0fbb7602d97029e46ea,"a, g, n, s",True,True,False,"a gamache, n sahraoui"
fibonacci: a programming language for object databases,"antonio albano, giorgio ghelli, renzo orsini",1995,the vldb journal — the international journal on very large data bases - persistent object systems,539089bb20f70186a0d98ad6,"a, g, o, r",False,False,True,"a albano, g ghelli, r orsini",fibonacci: a programming language for object databases,"antonio albano, giorgio ghelli, renzo orsini",1995,vldb j.,53e9a381b7602d9702c91d3e,"a, g, o, r",True,False,True,"a albano, g ghelli, r orsini"
cheetah: a lightweight transaction server for plug-and-play internet data management,"guy pardon, gustavo alonso",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da47e1,"a, g, p",False,False,True,"g alonso, g pardon",cheetah: a lightweight transaction server for plug-and-play internet data management.,"guy pardon, gustavo alonso",2000,vldb,53e9b4bfb7602d9703fd608d,"a, g, p",True,False,True,"g alonso, g pardon"
aqua: a fast decision support systems using approximate query answers,"swarup acharya, phillip b. gibbons, viswanath poosala",1999,vldb '99 proceedings of the 25th international conference on very large data bases,53908a7420f70186a0da45da,"a, g, p, s, v",False,False,True,"s acharya, p gibbons, v poosala",aqua: a fast decision support systems using approximate query answers.,"swarup acharya, phillip b. gibbons, viswanath poosala",1999,vldb,53e9b137b7602d9703bb69d8,"a, g, p, s, v",True,False,True,"s acharya, p gibbons, v poosala"
gembase: a geometric mediator for brain analysis with surface ensembles,"simone santini, amarnath gupta",2002,vldb '02 proceedings of the 28th international conference on very large data bases,53909f6920f70186a0e3a9c7,"a, g, s",False,False,True,"a gupta, s santini",gembase: a geometric mediator for brain analysis with surface ensembles.,"simone santini, amarnath gupta",2002,vldb,53e9ba8ab7602d97046b10c1,"a, g, s",True,False,True,"a gupta, s santini"
an interpolated volume data model,"tianqiu wang, simone santini, amarnath gupta",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe92,"a, g, s, t, w",False,False,True,"a gupta, s santini, t wang",an interpolated volume data model.,"tianqiu wang, simone santini, amarnath gupta",2003,vldb,53e9ab4fb7602d97034df792,"a, g, s, t, w",True,False,True,"a gupta, s santini, t wang"
the xxl search engine: ranked retrieval of xml data using indexes and ontologies,"anja theobald, gerhard weikum",2002,proceedings of the 2002 acm sigmod international conference on management of data,5390882d20f70186a0d8dadb,"a, g, t, w",False,True,False,"a theobald, g weikum",the xxl search engine: ranked retrieval of xml data using indexes and ontologies.,"anja theobald, gerhard weikum",2002,sigmod conference,53e9b86db7602d970443a111,"a, g, t, w",True,True,False,"a theobald, g weikum"
semantic video indexing: approach and issues,arun hampapur,1999,acm sigmod record,539087f320f70186a0d70a1c,"a, h",False,True,False,a hampapur,semantic video indexing: approach and issue.,arun hampapur,1999,sigmod record,53e9bd4bb7602d97049d90b0,"a, h",True,True,False,a hampapur
theory of answering queries using views,alon y. halevy,2000,acm sigmod record,5390880d20f70186a0d7cd65,"a, h",False,True,False,a halevy,theory of answering queries using views.,alon y. halevy,2000,sigmod record,53e9a6dfb7602d97030162b3,"a, h",True,True,False,a halevy
answering queries using views: a survey,alon y. halevy,2001,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbb0ae,"a, h",False,False,True,a halevy,answering queries using views: a survey.,alon y. halevy,2001,vldb j.,53e99931b7602d97021700d9,"a, h",True,False,True,a halevy
learning about data integration challenges from day one,alon y. halevy,2003,acm sigmod record,5390958920f70186a0deec74,"a, h",False,True,False,a halevy,learning about data integration challenges from day one.,alon y. halevy,2003,sigmod record,53e9b78ab7602d97043303cf,"a, h",True,True,False,a halevy
efficient query reformulation in peer data management systems,"igor tatarinov, alon halevy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb4,"a, h, i, t",False,True,False,"a halevy, i tatarinov",efficient query reformulation in peer-data management systems.,"igor tatarinov, alon y. halevy",2004,sigmod conference,53e99976b7602d97021b87f6,"a, h, i, t",True,True,False,"a halevy, i tatarinov"
exposing undergraduate students to database system internals,"anastassia ailamaki, joseph m. hellerstein",2003,acm sigmod record,5390958920f70186a0deec75,"a, h, j",False,True,False,"a ailamaki, j hellerstein",exposing undergraduate students to database system internals.,"anastassia ailamaki, joseph m. hellerstein",2003,sigmod record,53e9b1c2b7602d9703c5029f,"a, h, j",True,True,False,"a ailamaki, j hellerstein"
ubidata: requirements and architecture for ubiquitous data access,"abdelsalam helal, joachim hammer",2004,acm sigmod record,5390980720f70186a0e01e3d,"a, h, j",False,True,False,"j hammer, a helal",ubidata: requirements and architecture for ubiquitous data access.,"abdelsalam helal, joachim hammer",2004,sigmod record,53e9a448b7602d9702d66728,"a, h, j",True,True,False,"j hammer, a helal"
on the cost of multilingualism in database systems,"a. kumaran, jayant r. haritsa",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe2c,"a, h, j, k",False,False,True,"j haritsa, a kumaran",on the costs of multilingualism in database systems.,"a. kumaran, jayant r. haritsa",2003,vldb,53e99daab7602d970266721c,"a, h, j, k",True,False,True,"j haritsa, a kumaran"
lexequal: multilexical matching operator in sql,"a. kumaran, jayant r. haritsa",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf3,"a, h, j, k",False,True,False,"j haritsa, a kumaran",lexequal: multilexical matching operator in sql.,"a. kumaran, jayant r. haritsa",2004,sigmod conference,53e9a210b7602d9702b16118,"a, h, j, k",True,True,False,"j haritsa, a kumaran"
a system for watermarking relational databases,"rakesh agrawal, peter j. haas, jerry kiernan",2003,proceedings of the 2003 acm sigmod international conference on management of data,53908d6520f70186a0dd1a40,"a, h, j, k, p, r",False,True,False,"r agrawal, p haas, j kiernan",a system for watermarking relational databases.,"rakesh agrawal, peter j. haas, jerry kiernan",2003,sigmod conference,53e9bb0fb7602d970474b559,"a, h, j, k, p, r",True,True,False,"r agrawal, p haas, j kiernan"
"watermarking relational data: framework, algorithms and analysis","rakesh agrawal, peter j. haas, jerry kiernan",2003,the vldb journal — the international journal on very large data bases,5390958a20f70186a0def8e2,"a, h, j, k, p, r",False,False,True,"r agrawal, p haas, j kiernan","watermarking relational data: framework, algorithms and analysis.","rakesh agrawal, peter j. haas, jerry kiernan",2003,vldb j.,53e9b130b7602d9703baf9c8,"a, h, j, k, p, r",True,False,True,"r agrawal, p haas, j kiernan"
the design and implementation of k: a high-level knowledge-base programming language of osam*.kbms,"yuh-ming shyy, javier arroyo, stanley y.w. su, herman lam",1996,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbac8c,"a, h, j, l, s, y",False,False,True,"j arroyo, h lam, y shyy, s su",the design and implementation of k: a high-level knowledge-base programming language of osam*.kbms.,"yuh-ming shyy, javier arroyo, stanley y. w. su, herman lam",1996,vldb j.,53e9a19bb7602d9702a8efe4,"a, h, j, l, s, y",True,False,True,"j arroyo, h lam, y shyy, s su"
composing mappings among data sources,"jayant madhavan, alon y. halevy",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe53,"a, h, j, m",False,False,True,"a halevy, j madhavan",composing mappings among data sources.,"jayant madhavan, alon y. halevy",2003,vldb,53e9ac62b7602d97036346d9,"a, h, j, m",True,False,True,"a halevy, j madhavan"
protdb: probabilistic data in xml,"andrew nierman, h. v. jagadish",2002,vldb '02 proceedings of the 28th international conference on very large data bases,53909f6920f70186a0e3a999,"a, h, j, n",False,False,True,"h jagadish, a nierman",protdb: probabilistic data in xml.,"andrew nierman, h. v. jagadish",2002,vldb,53e9aed1b7602d97038fa413,"a, h, j, n",True,False,True,"h jagadish, a nierman"
generalized search trees for database systems,"joseph m. hellerstein, jeffrey f. naughton, avi pfeffer",1995,vldb '95 proceedings of the 21th international conference on very large data bases,53908a9620f70186a0da4ce5,"a, h, j, n, p",False,False,True,"j hellerstein, j naughton, a pfeffer",generalized search trees for database systems.,"joseph m. hellerstein, jeffrey f. naughton, avi pfeffer",1995,vldb,53e99c19b7602d97024c3b5c,"a, h, j, n, p",True,False,True,"j hellerstein, j naughton, a pfeffer"
"the network as a global database: challenges of interoperability, proactivity, interactiveness, legacy","peter c. lockemann, ulrike kölsch, arne koschel, ralf kramer, ralf nikolai, mechtild wallrath, hans-dirk walter",1997,vldb '97 proceedings of the 23rd international conference on very large data bases,53908a9620f70186a0da4eed,"a, h, k, l, m, n, p, r, u, w",False,False,True,"a koschel, r kramer, u kölsch, p lockemann, r nikolai, m wallrath, h walter","the network as a global database: challenges of interoperability, proactivity, interactiveness, legacy.","peter c. lockemann, ulrike kölsch, arne koschel, ralf kramer, ralf nikolai, mechtild wallrath, hans-dirk walter",1997,vldb,53e99d13b7602d97025c7750,"a, h, k, l, m, n, p, r, u, w",True,False,True,"a koschel, r kramer, u kölsch, p lockemann, r nikolai, m wallrath, h walter"
"fast similarity search in the presence of noise, scaling, and translation in time-series databases","rakesh agrawal, king-ip lin, harpreet s. sawhney, kyuseok shim",1995,vldb '95 proceedings of the 21th international conference on very large data bases,53908a9620f70186a0da4cef,"a, h, k, l, r, s",False,False,True,"r agrawal, k lin, h sawhney, k shim","fast similarity search in the presence of noise, scaling, and translation in time-series databases.","rakesh agrawal, king-ip lin, harpreet s. sawhney, kyuseok shim",1995,vldb,53e99fefb7602d97028cc813,"a, h, k, l, r, s",True,False,True,"r agrawal, k lin, h sawhney, k shim"
managing and analyzing carbohydrate data,"kiyoko f. aoki, nobuhisa ueda, atsuko yamaguchi, tatsuya akutsu, minoru kanehisa, hiroshi mamitsuka",2004,acm sigmod record,5390975920f70186a0dfe2af,"a, h, k, m, n, t, u, y",False,True,False,"t akutsu, k aoki, m kanehisa, h mamitsuka, n ueda, a yamaguchi",managing and analyzing carbohydrate data.,"kiyoko f. aoki, nobuhisa ueda, atsuko yamaguchi, tatsuya akutsu, minoru kanehisa, hiroshi mamitsuka",2004,sigmod record,53e9af46b7602d9703986ab6,"a, h, k, m, n, t, u, y",True,True,False,"t akutsu, k aoki, m kanehisa, h mamitsuka, n ueda, a yamaguchi"
concurrency control in hierarchical multidatabase systems,"sharad mehrotra, henry f. korth, avi silberschatz",1997,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbabe8,"a, h, k, m, s",False,False,True,"h korth, s mehrotra, a silberschatz",concurrency control in hierarchical multidatabase systems.,"sharad mehrotra, henry f. korth, abraham silberschatz",1997,vldb j.,53e9a464b7602d9702d8283f,"a, h, k, m, s",True,False,True,"h korth, s mehrotra, a silberschatz"
rainbow: distributed database system for classroom education and experimental research,"abdelsalam helal, hua li",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da47ea,"a, h, l",False,False,True,"a helal, h li",rainbow: distributed database system for classroom education and experimental research.,"abdelsalam helal, hua li",2000,vldb,53e99960b7602d97021a2437,"a, h, l",True,False,True,"a helal, h li"
place: a query processor for handling real-time spatio-temporal data streams,"mohamed f. mokbel, xiaopeng xiong, walid g. aref, susanne e. hambrusch, sunil prabhakar, moustafa a. hammad",2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e40220,"a, h, m, p, s, w, x",False,False,True,"w aref, s hambrusch, m hammad, m mokbel, s prabhakar, x xiong",place: a query processor for handling real-time spatio-temporal data streams.,"mohamed f. mokbel, xiaopeng xiong, walid g. aref, susanne e. hambrusch, sunil prabhakar, moustafa a. hammad",2004,vldb,53e9b641b7602d97041a0ead,"a, h, m, p, s, w, x",True,False,True,"w aref, s hambrusch, m hammad, m mokbel, s prabhakar, x xiong"
minicon: a scalable algorithm for answering queries using views,"rachel pottinger, alon halevy",2001,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbb0aa,"a, h, p, r",False,False,True,"a halevy, r pottinger",minicon: a scalable algorithm for answering queries using views.,"rachel pottinger, alon y. halevy",2001,vldb j.,53e9b746b7602d97042df7fb,"a, h, p, r",True,False,True,"a halevy, r pottinger"
response to “a close look at the ifo data model”,"serge abiteboul, richard hull",1995,acm sigmod record,539087cf20f70186a0d5b528,"a, h, r, s",False,True,False,"s abiteboul, r hull","response to ""a close look at the ifo data model"".","serge abiteboul, richard hull",1995,sigmod record,53e9ba4eb7602d97046678f4,"a, h, r, s",True,True,False,"s abiteboul, r hull"
integrating symbolic images into a multimedia database system using classification and abstraction approaches,"aya soffer, hanan samet",1998,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbabdd,"a, h, s",False,False,True,"h samet, a soffer",integrating symbolic images into a multimedia database system using classification and abstraction approaches.,"aya soffer, hanan samet",1998,vldb j.,53e99cd8b7602d9702589aed,"a, h, s",True,False,True,"h samet, a soffer"
efficient numerical error bounding for replicated network services,"haifeng yu, amin vahdat",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908b2a20f70186a0db974e,"a, h, v, y",False,False,True,"a vahdat, h yu",efficient numerical error bounding for replicated network services.,"haifeng yu, amin vahdat",2000,vldb,53e9b549b7602d970407d58b,"a, h, v, y",True,False,True,"a vahdat, h yu"
the hyperion project: from data integration to data coordination,"marcelo arenas, vasiliki kantere, anastasios kementsietsidis, iluju kiringa, renée j. miller, john mylopoulos",2003,acm sigmod record,5390958920f70186a0deec7c,"a, i, j, k, m, r, v",False,True,False,"m arenas, v kantere, a kementsietsidis, i kiringa, r miller, j mylopoulos",the hyperion project: from data integration to data coordination.,"marcelo arenas, vasiliki kantere, anastasios kementsietsidis, iluju kiringa, renée j. miller, john mylopoulos",2003,sigmod record,53e9a48eb7602d9702daf1eb,"a, i, j, k, m, r, v",True,True,False,"m arenas, v kantere, a kementsietsidis, i kiringa, r miller, j mylopoulos"
using formal methods to reason about semantics-based decompositions of transactions,"paul ammann, sushil jajodia, indrakshi ray",1995,vldb '95 proceedings of the 21th international conference on very large data bases,53908a9620f70186a0da4cf8,"a, i, j, p, r, s",False,False,True,"p ammann, s jajodia, i ray",using formal methods to reason about semantics-based decompositions of transactions.,"paul ammann, sushil jajodia, indrakshi ray",1995,vldb,53e9b505b7602d970403b139,"a, i, j, p, r, s",True,False,True,"p ammann, s jajodia, i ray"
datamine—interactive rule discovery system,"t. imielinski, a. virmani",1995,sigmod '95 proceedings of the 1995 acm sigmod international conference on management of data,539087d420f70186a0d5df6a,"a, i, t, v",False,True,False,"t imielinski, a virmani",datamine - interactive rule discovery system.,"tomasz imielinski, aashu virmani",1995,sigmod conference,53e9ab90b7602d97035384aa,"a, i, t, v",True,True,False,"t imielinski, a virmani"
moving up the food chain: supporting e-commerce applications on databases,anant jhingran,2000,acm sigmod record,5390880d20f70186a0d7cd68,"a, j",False,True,False,a jhingran,moving up the food chain: supporting e-commerce applications on databases.,anant jhingran,2000,sigmod record,53e9a0f3b7602d97029db9e5,"a, j",True,True,False,a jhingran
guidelines for presentation and comparison of indexing techniques,"justin zobel, alistair moffat, kotagiri ramamohanarao",1996,acm sigmod record,539087d920f70186a0d604eb,"a, j, k, m, r, z",False,True,False,"a moffat, k ramamohanarao, j zobel",guidelines for presentation and comparison of indexing techniques.,"justin zobel, alistair moffat, kotagiri ramamohanarao",1996,sigmod record,53e99e5bb7602d9702722274,"a, j, k, m, r, z",True,True,False,"a moffat, k ramamohanarao, j zobel"
order preserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb6,"a, j, k, r, s, x, y",False,True,False,"r agrawal, j kiernan, r srikant, y xu",order-preserving encryption for numeric data.,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",2004,sigmod conference,53e9b11db7602d9703b9ab51,"a, j, k, r, s, x, y",True,True,False,"r agrawal, j kiernan, r srikant, y xu"
querying heterogeneous information sources using source descriptions,"alon y. levy, anand rajaraman, joann j. ordille",1996,vldb '96 proceedings of the 22th international conference on very large data bases,53908a9620f70186a0da4e29,"a, j, l, o, r",False,False,True,"a levy, j ordille, a rajaraman",querying heterogeneous information sources using source descriptions,"alon y. levy, anand rajaraman, joann j. ordille",1996,vldb,53e999cab7602d970220f707,"a, j, l, o, r",True,False,True,"a levy, j ordille, a rajaraman"
web caching for database applications with oracle web cache,"jesse anton, lawrence jacobs, xiang liu, jordan parker, zheng zeng, tie zhong",2002,proceedings of the 2002 acm sigmod international conference on management of data,5390882d20f70186a0d8dad6,"a, j, l, p, t, x, z",False,True,False,"j anton, l jacobs, x liu, j parker, z zeng, t zhong",web caching for database applications with oracle web cache.,"jesse anton, lawrence jacobs, xiang liu, jordan parker, zheng zeng, tie zhong",2002,sigmod conference,53e9bd1eb7602d97049a97eb,"a, j, l, p, t, x, z",True,True,False,"j anton, l jacobs, x liu, j parker, z zeng, t zhong"
grid data management systems & services,"arun jagatheesan, reagan moore, norman w. paton, paul watson",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe9b,"a, j, m, n, p, r, w",False,False,True,"a jagatheesan, r moore, n paton, p watson",grid data management systems & services.,"arun jagatheesan, reagan moore, norman w. paton, paul watson",2003,vldb,53e9a81fb7602d9703166b36,"a, j, m, n, p, r, w",True,False,True,"a jagatheesan, r moore, n paton, p watson"
projecting xml documents,"amélie marian, jérôme siméon",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe35,"a, j, m, s",False,False,True,"a marian, j siméon",projecting xml documents.,"amélie marian, jérôme siméon",2003,vldb,53e99832b7602d9702056c3d,"a, j, m, s",True,False,True,"a marian, j siméon"
database research: achievements and opportunities into the 1st century,"avi silberschatz, mike stonebraker, jeff ullman",1996,acm sigmod record,5390881220f70186a0d7f826,"a, j, m, s, u",False,True,False,"a silberschatz, m stonebraker, j ullman",database research: achievements and opportunities into the 21st century.,"abraham silberschatz, michael stonebraker, jeffrey d. ullman",1996,sigmod record,53e9bb01b7602d9704736aa3,"a, j, m, s, u",True,True,False,"a silberschatz, m stonebraker, j ullman"
static optimization of conjunctive queries with sliding windows over infinite streams,"ahmed m. ayad, jeffrey f. naughton",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacaa,"a, j, n",False,True,False,"a ayad, j naughton",static optimization of conjunctive queries with sliding windows over infinite streams.,"ahmed ayad, jeffrey f. naughton",2004,sigmod conference,53e9a9a2b7602d97033030d8,"a, j, n",True,True,False,"a ayad, j naughton"
data grid management systems,"arun jagatheesan, arcot rajasekar",2003,proceedings of the 2003 acm sigmod international conference on management of data,53908d6520f70186a0dd1a49,"a, j, r",False,True,False,"a jagatheesan, a rajasekar",data grid management systems.,"arun jagatheesan, arcot rajasekar",2003,sigmod conference,53e99a2bb7602d97022880bb,"a, j, r",True,True,False,"a jagatheesan, a rajasekar"
parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer, rakesh agrawal",1997,vldb '97 proceedings of the 23rd international conference on very large data bases,53908a7420f70186a0da4491,"a, j, r, s",False,False,True,"r agrawal, j shafer",parallel algorithms for high-dimensional similarity joins for data mining applications.,"john c. shafer, rakesh agrawal",1997,vldb,53e9a1b6b7602d9702aad52d,"a, j, r, s",True,False,True,"r agrawal, j shafer"
optimizing queries on compressed bitmaps,"sihem amer-yahia, theodore johnson",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da47ef,"a, j, s, t",False,False,True,"s amer-yahia, t johnson",optimizing queries on compressed bitmaps.,"sihem amer-yahia, theodore johnson",2000,vldb,53e9aedeb7602d970390bad3,"a, j, s, t",True,False,True,"s amer-yahia, t johnson"
guest editorial,"vijay atluri, anupam joshi, yelena yesha",2003,the vldb journal — the international journal on very large data bases,5590daad0cf2ce4b6f3a07a5,"a, j, v, y",True,False,True,"v atluri, a joshi, y yesha",guest editorial.,"vijay atluri, anupam joshi, yelena yesha",2003,vldb j.,53e99796b7602d9701f5cf1b,"a, j, v, y",False,False,True,"v atluri, a joshi, y yesha"
a denotational semantics for continuous queries over streams and relations,"arvind arasu, jennifer widom",2004,acm sigmod record,5390979920f70186a0dffb82,"a, j, w",False,True,False,"a arasu, j widom",a denotational semantics for continuous queries over streams and relations.,"arvind arasu, jennifer widom",2004,sigmod record,53e99d7ab7602d970263389b,"a, j, w",True,True,False,"a arasu, j widom"
about quark digital media system,kamar aulakh,1998,sigmod '98 proceedings of the 1998 acm sigmod international conference on management of data,539087e720f70186a0d69689,"a, k",False,True,False,k aulakh,about quark digital media system.,kamar aulakh,1998,sigmod conference,53e9ab25b7602d97034afa23,"a, k",True,True,False,k aulakh
advanced xml data processing: guest editor's introduction,karl aberer,2001,acm sigmod record,539089ab20f70186a0d96f55,"a, k",False,True,False,k aberer,advanced xml data processing - guest editor's introduction.,karl aberer,2001,sigmod record,53e9a37ab7602d9702c86413,"a, k",True,True,False,k aberer
book review column,karl aberer,2001,acm sigmod record,558f36690cf2c779a64787a8,"a, k",True,True,False,k aberer,book review column.,karl aberer,2001,sigmod record,53e997e9b7602d9701fe4526,"a, k",False,True,False,k aberer
book review column,karl aberer,2003,acm sigmod record,5590d2bd0cf2ce4b6f3a033a,"a, k",True,True,False,k aberer,book review column.,karl aberer,2003,sigmod record,53e997e9b7602d9701fe4527,"a, k",False,True,False,k aberer
book review column,karl aberer,2003,acm sigmod record,5590d2bd0cf2ce4b6f3a033a,"a, k",True,True,False,k aberer,book review column.,karl aberer,2003,sigmod record,53e997e9b7602d9701fe4525,"a, k",False,True,False,k aberer
